task_id,title,description,type,difficulty,estimated_time,category,skill_level,tags,steps,hints,video_url,web_url
machine-learning-linear-regression,Linear Regression: Easy Practical Task 1,"A easy-level, course-ready exercise focused on Linear Regression in Machine Learning. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,linear,easy","{"step_1": "Review the theoretical foundations of Linear Regression within Machine Learning.", "step_2": "Implement a concise example demonstrating Linear Regression.", "step_3": "Run targeted experiments to validate behavior and edge cases.", "step_4": "Document findings with metrics, code snippets, and key takeaways."}","{"hint_1": "Consult primary documentation for Linear Regression in Machine Learning.", "hint_2": "Start with a minimal, verifiable example before generalizing.", "hint_3": "Use version control to track incremental improvements."}",https://www.youtube.com/watch?v=6ffa3a671f6,https://scikit-learn.org/stable/#4ea7b52c
devops-ci-basics,CI Basics: Easy Practical Task 2,"A easy-level, course-ready exercise focused on CI Basics in DevOps. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,DevOps,Beginner,"devops,ci,easy","{""step_1"": ""Review the theoretical foundations of CI Basics within DevOps."", ""step_2"": ""Implement a concise example demonstrating CI Basics."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for CI Basics in DevOps."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=dc70dfc1c79,https://kubernetes.io/docs/#c92e125b
devops-cd-pipelines,CD Pipelines: Easy Practical Task 3,"A easy-level, course-ready exercise focused on CD Pipelines in DevOps. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,DevOps,Beginner,"devops,cd,easy","{""step_1"": ""Review the theoretical foundations of CD Pipelines within DevOps."", ""step_2"": ""Implement a concise example demonstrating CD Pipelines."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for CD Pipelines in DevOps."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=fdba944facc,https://kubernetes.io/docs/#7ed2ada5
devops-docker-images,Docker Images: Easy Practical Task 4,"A easy-level, course-ready exercise focused on Docker Images in DevOps. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,DevOps,Beginner,"devops,docker,easy","{""step_1"": ""Review the theoretical foundations of Docker Images within DevOps."", ""step_2"": ""Implement a concise example demonstrating Docker Images."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Docker Images in DevOps."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=560c1945c20,https://kubernetes.io/docs/#566683d4
devops-kubernetes-basics,Kubernetes Basics: Easy Practical Task 5,"A easy-level, course-ready exercise focused on Kubernetes Basics in DevOps. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,DevOps,Beginner,"devops,kubernetes,easy","{""step_1"": ""Review the theoretical foundations of Kubernetes Basics within DevOps."", ""step_2"": ""Implement a concise example demonstrating Kubernetes Basics."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Kubernetes Basics in DevOps."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=4ffe9fdc142,https://kubernetes.io/docs/#5483cc9a
devops-helm-easy,Helm: Easy Practical Task 6,"A easy-level, course-ready exercise focused on Helm in DevOps. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,DevOps,Beginner,"devops,helm,easy","{""step_1"": ""Review the theoretical foundations of Helm within DevOps."", ""step_2"": ""Implement a concise example demonstrating Helm."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Helm in DevOps."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=9ef66a78289,https://kubernetes.io/docs/#ddce03ff
devops-terraform-easy,Terraform: Easy Practical Task 7,"A easy-level, course-ready exercise focused on Terraform in DevOps. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,DevOps,Beginner,"devops,terraform,easy","{""step_1"": ""Review the theoretical foundations of Terraform within DevOps."", ""step_2"": ""Implement a concise example demonstrating Terraform."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Terraform in DevOps."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=97a9a58c358,https://kubernetes.io/docs/#f94f8ec0
devops-config-management,Config Management: Easy Practical Task 8,"A easy-level, course-ready exercise focused on Config Management in DevOps. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,DevOps,Beginner,"devops,config,easy","{""step_1"": ""Review the theoretical foundations of Config Management within DevOps."", ""step_2"": ""Implement a concise example demonstrating Config Management."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Config Management in DevOps."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=0b0875e49a1,https://kubernetes.io/docs/#a4a1a113
devops-secrets-vault,Secrets & Vault: Easy Practical Task 9,"A easy-level, course-ready exercise focused on Secrets & Vault in DevOps. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,DevOps,Beginner,"devops,secrets,easy","{""step_1"": ""Review the theoretical foundations of Secrets & Vault within DevOps."", ""step_2"": ""Implement a concise example demonstrating Secrets & Vault."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Secrets & Vault in DevOps."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=6decbfddf4f,https://kubernetes.io/docs/#dd9fb862
devops-observability-easy,Observability: Easy Practical Task 10,"A easy-level, course-ready exercise focused on Observability in DevOps. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,DevOps,Beginner,"devops,observability,easy","{""step_1"": ""Review the theoretical foundations of Observability within DevOps."", ""step_2"": ""Implement a concise example demonstrating Observability."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Observability in DevOps."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=98f007510f3,https://kubernetes.io/docs/#d71cb206
devops-helm-medium,Helm: Medium Practical Task 6,"A medium-level, course-ready exercise focused on Helm in DevOps. Learners will implement, validate, and summarize results concisely.",coding,Medium,25 minutes,DevOps,Intermediate,"devops,helm,medium","{""step_1"": ""Review the theoretical foundations of Helm within DevOps."", ""step_2"": ""Implement a concise example demonstrating Helm."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Helm in DevOps."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=e6690853bcb,https://kubernetes.io/docs/#9b89ef79
devops-terraform-medium,Terraform: Medium Practical Task 7,"A medium-level, course-ready exercise focused on Terraform in DevOps. Learners will implement, validate, and summarize results concisely.",practice,Medium,25 minutes,DevOps,Intermediate,"devops,terraform,medium","{""step_1"": ""Review the theoretical foundations of Terraform within DevOps."", ""step_2"": ""Implement a concise example demonstrating Terraform."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Terraform in DevOps."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=66371df59b3,https://kubernetes.io/docs/#292c8eea
devops-observability-medium,Observability: Medium Practical Task 10,"A medium-level, course-ready exercise focused on Observability in DevOps. Learners will implement, validate, and summarize results concisely.",practice,Medium,25 minutes,DevOps,Intermediate,"devops,observability,medium","{""step_1"": ""Review the theoretical foundations of Observability within DevOps."", ""step_2"": ""Implement a concise example demonstrating Observability."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Observability in DevOps."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=15ec1689033,https://kubernetes.io/docs/#f048617e
devops-helm-hard,Helm: Hard Practical Task 6,"A hard-level, course-ready exercise focused on Helm in DevOps. Learners will implement, validate, and summarize results concisely.",practice,Hard,40 minutes,DevOps,Advanced,"devops,helm,hard","{""step_1"": ""Review the theoretical foundations of Helm within DevOps."", ""step_2"": ""Implement a concise example demonstrating Helm."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Helm in DevOps."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=564cfbbd2bd,https://kubernetes.io/docs/#1949999d
devops-terraform-hard,Terraform: Hard Practical Task 7,"A hard-level, course-ready exercise focused on Terraform in DevOps. Learners will implement, validate, and summarize results concisely.",project,Hard,40 minutes,DevOps,Advanced,"devops,terraform,hard","{""step_1"": ""Review the theoretical foundations of Terraform within DevOps."", ""step_2"": ""Implement a concise example demonstrating Terraform."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Terraform in DevOps."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=b937531bb7f,https://kubernetes.io/docs/#1f351705
devops-observability-hard,Observability: Hard Practical Task 10,"A hard-level, course-ready exercise focused on Observability in DevOps. Learners will implement, validate, and summarize results concisely.",project,Hard,40 minutes,DevOps,Advanced,"devops,observability,hard","{""step_1"": ""Review the theoretical foundations of Observability within DevOps."", ""step_2"": ""Implement a concise example demonstrating Observability."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Observability in DevOps."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=db854a856e9,https://kubernetes.io/docs/#a4dd4449
mobile-development-platform-overview,Platform Overview: Easy Practical Task 1,"A easy-level, course-ready exercise focused on Platform Overview in Mobile Development. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Mobile Development,Beginner,"mobile-development,platform,easy","{""step_1"": ""Review the theoretical foundations of Platform Overview within Mobile Development."", ""step_2"": ""Implement a concise example demonstrating Platform Overview."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Platform Overview in Mobile Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=9aa05988933,https://developer.android.com/docs#ffec6f26
mobile-development-android-studio,Android Studio Setup: Easy Practical Task 2,"A easy-level, course-ready exercise focused on Android Studio Setup in Mobile Development. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Mobile Development,Beginner,"mobile-development,android,easy","{""step_1"": ""Review the theoretical foundations of Android Studio Setup within Mobile Development."", ""step_2"": ""Implement a concise example demonstrating Android Studio Setup."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Android Studio Setup in Mobile Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=db4492c22a5,https://developer.android.com/docs#6743b30a
mobile-development-activities-fragments,Activities & Fragments: Easy Practical Task 3,"A easy-level, course-ready exercise focused on Activities & Fragments in Mobile Development. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Mobile Development,Beginner,"mobile-development,activities,easy","{""step_1"": ""Review the theoretical foundations of Activities & Fragments within Mobile Development."", ""step_2"": ""Implement a concise example demonstrating Activities & Fragments."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Activities & Fragments in Mobile Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=fe3b8d1b03a,https://developer.android.com/docs#4abdd5da
mobile-development-ios-xcode,iOS Xcode Setup: Easy Practical Task 4,"A easy-level, course-ready exercise focused on iOS Xcode Setup in Mobile Development. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Mobile Development,Beginner,"mobile-development,ios,easy","{""step_1"": ""Review the theoretical foundations of iOS Xcode Setup within Mobile Development."", ""step_2"": ""Implement a concise example demonstrating iOS Xcode Setup."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for iOS Xcode Setup in Mobile Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=9c5550de9f7,https://developer.android.com/docs#726000aa
mobile-development-viewlayout-easy,View/Layout: Easy Practical Task 5,"A easy-level, course-ready exercise focused on View/Layout in Mobile Development. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Mobile Development,Beginner,"mobile-development,view/layout,easy","{""step_1"": ""Review the theoretical foundations of View/Layout within Mobile Development."", ""step_2"": ""Implement a concise example demonstrating View/Layout."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for View/Layout in Mobile Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=d61265bd2a4,https://developer.android.com/docs#871aa3c8
mobile-development-navigation-easy,Navigation: Easy Practical Task 6,"A easy-level, course-ready exercise focused on Navigation in Mobile Development. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Mobile Development,Beginner,"mobile-development,navigation,easy","{""step_1"": ""Review the theoretical foundations of Navigation within Mobile Development."", ""step_2"": ""Implement a concise example demonstrating Navigation."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Navigation in Mobile Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=3bc5513ac2b,https://developer.android.com/docs#0391004d
mobile-development-networking-easy,Networking: Easy Practical Task 7,"A easy-level, course-ready exercise focused on Networking in Mobile Development. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Mobile Development,Beginner,"mobile-development,networking,easy","{""step_1"": ""Review the theoretical foundations of Networking within Mobile Development."", ""step_2"": ""Implement a concise example demonstrating Networking."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Networking in Mobile Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=4e13309f547,https://developer.android.com/docs#e523fe5c
mobile-development-local-storage,Local Storage: Easy Practical Task 8,"A easy-level, course-ready exercise focused on Local Storage in Mobile Development. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Mobile Development,Beginner,"mobile-development,local,easy","{""step_1"": ""Review the theoretical foundations of Local Storage within Mobile Development."", ""step_2"": ""Implement a concise example demonstrating Local Storage."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Local Storage in Mobile Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=76f2c12008e,https://developer.android.com/docs#96c39131
mobile-development-state-management,State Management: Easy Practical Task 9,"A easy-level, course-ready exercise focused on State Management in Mobile Development. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Mobile Development,Beginner,"mobile-development,state,easy","{""step_1"": ""Review the theoretical foundations of State Management within Mobile Development."", ""step_2"": ""Implement a concise example demonstrating State Management."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for State Management in Mobile Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=b2f19e6e2dc,https://developer.android.com/docs#7bee52df
mobile-development-permissions-easy,Permissions: Easy Practical Task 10,"A easy-level, course-ready exercise focused on Permissions in Mobile Development. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Mobile Development,Beginner,"mobile-development,permissions,easy","{""step_1"": ""Review the theoretical foundations of Permissions within Mobile Development."", ""step_2"": ""Implement a concise example demonstrating Permissions."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Permissions in Mobile Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=e81394b8a13,https://developer.android.com/docs#fd7a60e8
mobile-development-viewlayout-medium,View/Layout: Medium Practical Task 5,"A medium-level, course-ready exercise focused on View/Layout in Mobile Development. Learners will implement, validate, and summarize results concisely.",project,Medium,25 minutes,Mobile Development,Intermediate,"mobile-development,view/layout,medium","{""step_1"": ""Review the theoretical foundations of View/Layout within Mobile Development."", ""step_2"": ""Implement a concise example demonstrating View/Layout."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for View/Layout in Mobile Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=762f3c96687,https://developer.android.com/docs#6649d261
mobile-development-navigation-medium,Navigation: Medium Practical Task 6,"A medium-level, course-ready exercise focused on Navigation in Mobile Development. Learners will implement, validate, and summarize results concisely.",coding,Medium,25 minutes,Mobile Development,Intermediate,"mobile-development,navigation,medium","{""step_1"": ""Review the theoretical foundations of Navigation within Mobile Development."", ""step_2"": ""Implement a concise example demonstrating Navigation."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Navigation in Mobile Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=cf0d1a77a51,https://developer.android.com/docs#b90d7517
mobile-development-networking-medium,Networking: Medium Practical Task 7,"A medium-level, course-ready exercise focused on Networking in Mobile Development. Learners will implement, validate, and summarize results concisely.",practice,Medium,25 minutes,Mobile Development,Intermediate,"mobile-development,networking,medium","{""step_1"": ""Review the theoretical foundations of Networking within Mobile Development."", ""step_2"": ""Implement a concise example demonstrating Networking."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Networking in Mobile Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=71bba33db45,https://developer.android.com/docs#2c76ec3c
mobile-development-permissions-medium,Permissions: Medium Practical Task 10,"A medium-level, course-ready exercise focused on Permissions in Mobile Development. Learners will implement, validate, and summarize results concisely.",practice,Medium,25 minutes,Mobile Development,Intermediate,"mobile-development,permissions,medium","{""step_1"": ""Review the theoretical foundations of Permissions within Mobile Development."", ""step_2"": ""Implement a concise example demonstrating Permissions."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Permissions in Mobile Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=e49044fc8bc,https://developer.android.com/docs#853b0a36
mobile-development-viewlayout-hard,View/Layout: Hard Practical Task 5,"A hard-level, course-ready exercise focused on View/Layout in Mobile Development. Learners will implement, validate, and summarize results concisely.",coding,Hard,40 minutes,Mobile Development,Advanced,"mobile-development,view/layout,hard","{""step_1"": ""Review the theoretical foundations of View/Layout within Mobile Development."", ""step_2"": ""Implement a concise example demonstrating View/Layout."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for View/Layout in Mobile Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=eb5296f8133,https://developer.android.com/docs#849baf3f
mobile-development-navigation-hard,Navigation: Hard Practical Task 6,"A hard-level, course-ready exercise focused on Navigation in Mobile Development. Learners will implement, validate, and summarize results concisely.",practice,Hard,40 minutes,Mobile Development,Advanced,"mobile-development,navigation,hard","{""step_1"": ""Review the theoretical foundations of Navigation within Mobile Development."", ""step_2"": ""Implement a concise example demonstrating Navigation."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Navigation in Mobile Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=46c183d630b,https://developer.android.com/docs#26fd51e9
mobile-development-networking-hard,Networking: Hard Practical Task 7,"A hard-level, course-ready exercise focused on Networking in Mobile Development. Learners will implement, validate, and summarize results concisely.",project,Hard,40 minutes,Mobile Development,Advanced,"mobile-development,networking,hard","{""step_1"": ""Review the theoretical foundations of Networking within Mobile Development."", ""step_2"": ""Implement a concise example demonstrating Networking."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Networking in Mobile Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=2451444bf9e,https://developer.android.com/docs#dd44274c
mobile-development-permissions-hard,Permissions: Hard Practical Task 10,"A hard-level, course-ready exercise focused on Permissions in Mobile Development. Learners will implement, validate, and summarize results concisely.",project,Hard,40 minutes,Mobile Development,Advanced,"mobile-development,permissions,hard","{""step_1"": ""Review the theoretical foundations of Permissions within Mobile Development."", ""step_2"": ""Implement a concise example demonstrating Permissions."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Permissions in Mobile Development."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=66448510b8a,https://developer.android.com/docs#f1d0c93d
ui/ux-design-design-principles,Design Principles: Easy Practical Task 1,"A easy-level, course-ready exercise focused on Design Principles in UI/UX Design. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,UI/UX Design,Beginner,"ui/ux-design,design,easy","{""step_1"": ""Review the theoretical foundations of Design Principles within UI/UX Design."", ""step_2"": ""Implement a concise example demonstrating Design Principles."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Design Principles in UI/UX Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=19ec153027b,https://www.w3.org/WAI/#8f75ca4f
ui/ux-design-user-research,User Research: Easy Practical Task 2,"A easy-level, course-ready exercise focused on User Research in UI/UX Design. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,UI/UX Design,Beginner,"ui/ux-design,user,easy","{""step_1"": ""Review the theoretical foundations of User Research within UI/UX Design."", ""step_2"": ""Implement a concise example demonstrating User Research."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for User Research in UI/UX Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=12b99e9fa15,https://www.w3.org/WAI/#5874b88d
ui/ux-design-personas-easy,Personas: Easy Practical Task 3,"A easy-level, course-ready exercise focused on Personas in UI/UX Design. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,UI/UX Design,Beginner,"ui/ux-design,personas,easy","{""step_1"": ""Review the theoretical foundations of Personas within UI/UX Design."", ""step_2"": ""Implement a concise example demonstrating Personas."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Personas in UI/UX Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=5fbcc87ea81,https://www.w3.org/WAI/#e0bdad78
